date,title,job_number,tender_api_url,budget_amount
20230106,人工智慧速捷技術(FAST AI)深耕計畫,ADI-112121305,http://pcc.g0v.ronny.tw/api/tender?unit_id=A.29.1&job_number=ADI-112121305,143400000.0
20240110,人工智慧速捷技術(FAST AI)深耕計畫,ADI-113121308,http://pcc.g0v.ronny.tw/api/tender?unit_id=A.29.1&job_number=ADI-113121308,110800000.0
20230703,智慧交通大數據基礎建設及應用服務計畫(Ⅲ),112241205h,http://pcc.g0v.ronny.tw/api/tender?unit_id=3.15&job_number=112241205h,99800000.0
20240603,數據與人工智慧專業學院整建工程,C-X112C01-1,http://pcc.g0v.ronny.tw/api/tender?unit_id=3.9.27&job_number=C-X112C01-1,82100000.0
20240112,113年度建置沿近海漁業智能管理作業環境及大數據查報匯集分析,C11221106-1,http://pcc.g0v.ronny.tw/api/tender?unit_id=A.19.2&job_number=C11221106-1,64500000.0
20230103,112年度建置沿近海漁業智能管理作業環境及大數據查報匯集分析,C1121102,http://pcc.g0v.ronny.tw/api/tender?unit_id=3.45.2&job_number=C1121102,63200000.0
20211230,111年度建置沿近海漁業智能管理作業環境及大數據查報匯集分析,C1021028,http://pcc.g0v.ronny.tw/api/tender?unit_id=3.45.2&job_number=C1021028,62100000.0
20220329,110年度健保資料人工智慧加值應用採購案,J1100039331,http://pcc.g0v.ronny.tw/api/tender?unit_id=A.21.3&job_number=J1100039331,61200000.0
20220531,智慧交通大數據基礎建設及應用服務計畫(Ⅱ),111241211h,http://pcc.g0v.ronny.tw/api/tender?unit_id=3.15&job_number=111241211h,48800000.0
20211129,CCTV人工智慧影像辨識工安管理系統採購案,0621100002,http://pcc.g0v.ronny.tw/api/tender?unit_id=3.13.31&job_number=0621100002,44980000.0
